year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2020,Ram,Ram Pickup 1500,LN414670,TRUE,1C6SRFJT8LN414670,Pearl White Tricoat,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Subaru,Forester,KH448948,FALSE,JF2SKAPC2KH448948,Celestial Silver,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,Sport,NULL,NULL,Gasoline,AWD,2.5L H4 182hp 176ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN414676,TRUE,1C6SRFJT9LN414676,Bright White,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Sentra,LY279032,TRUE,3N1AB8CV0LY279032,Aspen White,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,2.0L I4 149hp 146ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN414542,TRUE,1C6SRFHM1LN414542,Bright White,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Limited,NULL,NULL,Diesel,4X4,EcoDiesel 3.0L Biodiesel Turbo V6 260hp 480ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2014,Chevrolet,Spark,EC472273,FALSE,KL8CB6S98EC472273,Celestial Silver,NULL,NULL,NULL,CVT,NULL,NULL,LS CVT,NULL,NULL,Gasoline,FWD,Ecotec 1.2L I4 84hp 83ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Chevrolet,Silverado 2500HD,KF269234,FALSE,1GC1KTEYXKF269234,Granite Pearlcoat,NULL,NULL,NULL,Allison 1000 6-Speed Shiftable Automatic,NULL,NULL,LTZ,NULL,NULL,NULL,4X4,Duramax 6.6L Biodiesel Turbo V8 445hp 910ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Ford,Fusion,HR110818,FALSE,3FA6P0H76HR110818,Vice White,NULL,NULL,NULL,6-Speed Automatic,NULL,NULL,SE,NULL,NULL,Gasoline,FWD,2.5L I4 175hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2015,Kia,Soul,F7153233,FALSE,KNDJP3A52F7153233,Blue Crush Metallic,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,+,NULL,NULL,Gasoline,FWD,2.0L I4 164hp 151ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Honda,CR-V,JE057456,FALSE,7FARW2H83JE057456,Octane Red Pearl,NULL,NULL,NULL,CVT,NULL,NULL,EX-L w/Navi,NULL,NULL,Gasoline,AWD,1.5L Turbo I4 190hp 179ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2014,GMC,Sierra 1500,EG148600,FALSE,3GTU2UEC4EG148600,Blue Crush Metallic,NULL,NULL,NULL,6-Speed Shiftable Automatic w/Overdrive,NULL,NULL,SLE,NULL,NULL,Gasoline,4X4,EcoTec3 5.3L Flex Fuel V8 355hp 383ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2015,GMC,Sierra 1500,FG389011,FALSE,3GTU2UEC4FG389011,Octane Red Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic w/Overdrive,NULL,NULL,SLE,NULL,NULL,Gasoline,4X4,EcoTec3 5.3L V8 355hp 383ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2012,Dodge,Challenger,CH148020,FALSE,2C3CDYBT4CH148020,Vice White,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,R/T Classic,NULL,NULL,Gasoline,RWD,HEMI 5.7L V8 372hp 401ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Lincoln,MKZ,KR604572,TRUE,3LN6L5EC6KR604572,Iced Mocha,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Reserve II,NULL,NULL,Gasoline,FWD,3.0L Twin Turbo V6 350hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Cadillac,ATS,H0176513,FALSE,1G6AA5RX0H0176513,Blizzard Pearl,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,2.0T,NULL,NULL,Gasoline,RWD,2.0L Turbo I4 272hp 295ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Honda,Civic,HE207602,FALSE,19XFC1F34HE207602,Celestial Silver,NULL,NULL,NULL,CVT,NULL,NULL,EX-T,NULL,NULL,Gasoline,FWD,1.5L Turbo I4 174hp 162ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LKF04280,TRUE,1FTEX1CP7LKF04280,Race Red,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XL,NULL,NULL,Gasoline,4X2,EcoBoost 2.7L Twin Turbo V6 325hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Escape,LUB42471,TRUE,1FMCU9J97LUB42471,Magnetic Metallic,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Titanium,NULL,NULL,Gasoline,AWD,EcoBoost 2.0L Turbo I4 250hp 275ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LKE64855,TRUE,1FTEW1CP2LKE64855,Oxford White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X2,EcoBoost 2.7L Twin Turbo V6 325hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Escape,LUB06574,TRUE,1FMCU9J92LUB06574,Star White,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Titanium,NULL,NULL,Gasoline,AWD,EcoBoost 2.0L Turbo I4 250hp 275ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-250 Super Duty,LED85257A,TRUE,1FT7W2BT9LED85257,Race Red,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XL,NULL,NULL,NULL,4X4,Power Stroke 6.7L Biodiesel Turbo V8 475hp 1050ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Fusion,LR259808,TRUE,3FA6P0G7XLR259808,Oxford White,NULL,NULL,NULL,6-Speed Automatic,NULL,NULL,S,NULL,NULL,Gasoline,FWD,2.5L I4 175hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
